,Unnamed: 0,Year,OSHPD_ID,FacilityName,County,TypeofOwnership,HospitalType,Teaching,LicensedBeds,AvailableBeds,StaffedBeds,PretaxNetIncome,OtherOperatingRev,TotalOperatingRev,TotalMargin,OperatingMargin,Location,SmallORRural
11,11,2014,106084001,SUTTER COAST HOSPITAL,Del Norte,Non-Profit,Comparable,0,49,49,24,69929183,427445.0,70356628.0,0.6%,0.6%,"CRESCENT CITY, California
(41.754772, -124.204373)",1
12,12,2014,106050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,Calaveras,Non-Profit,Comparable,0,48,25,13,65017696,253769.0,65271465.0,0.4%,0.4%,"SAN ANDREAS, California
(38.196211, -120.68092)",1
13,13,2014,106090933,MARSHALL MEDICAL CENTER.,El Dorado,Non-Profit,Comparable,0,113,113,113,208698995,2974571.0,211673566.0,1.4%,1.4%,"PLACERVILLE, California
(38.729652, -120.799147)",1
14,14,2015,106374049,SHARP MCDONALD CENTER,San Diego,Non-Profit,Comparable,0,16,14,10,4260260,0.0,4260260.0,0%,0%,"SAN DIEGO, California
(32.71576, -117.163817)",0
15,15,2011,106342392,SIERRA VISTA HOSPITAL,Sacramento,Investor,Comparable,0,120,120,120,29257865,2015936.0,31273801.0,6.4%,6.9%,"SACRAMENTO, California
(38.582087, -121.50012)",0
16,16,2010,106340951,METHODIST HOSPITAL OF SACRAMENTO,SACRAMENTO,Non-Profit,Comparable,0,333,327,327,201172000,1590000.0,202762000.0,0.8%,0.8%,"SACRAMENTO, California
(38.582087, -121.50012)",0
17,17,2010,106190468,PROMISE HOSPITAL OF EAST LOS ANGELES,LOS ANGELES,Investor,Comparable,0,213,213,179,85484378,154727.0,85639105.0,0.2%,0.2%,"LOS ANGELES, California
(34.052238, -118.243344)",0
18,18,2012,106190380,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,Los Angeles,Investor,Comparable,0,159,159,159,76308773,102811.0,76411584.0,0.1%,0.1%,"HOLLYWOOD, California
(34.098301, -118.325798)",0
19,19,2012,106500852,DOCTORS MEDICAL CENTER,Stanislaus,Investor,Comparable,0,459,441,314,471904731,1546050.0,473450781.0,0.3%,0.3%,"MODESTO, California
(37.640735, -121.002435)",0
20,20,2010,106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,City/County,Comparable,0,151,151,109,287145999,13719143.0,300865142.0,4.6%,4.8%,"MARTINEZ, California
(38.018992, -122.134855)",0
21,21,2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,Imperial,District,Comparable,0,107,107,107,94699993,836681.0,95536674.0,0.9%,0.9%,"BRAWLEY, California
(32.978688, -115.539429)",1
22,22,2010,106381154,UCSF MEDICAL CENTER,SAN FRANCISCO,Non-Profit,Comparable,1,676,660,660,1832812410,23312090.0,1856124500.0,1.3%,1.3%,"SAN FRANCISCO, California
(37.78008, -122.420168)",0
23,23,2010,106430763,EL CAMINO HOSPITAL,SANTA CLARA,Non-Profit,Comparable,0,426,320,320,547418610,24134648.0,571553258.0,4.2%,4.4%,"MOUNTAIN VIEW, California
(37.39008, -122.08139)",0
24,24,2011,106444013,WATSONVILLE COMMUNITY HOSPITAL,Santa Cruz,Investor,Comparable,0,106,106,92,104003724,171725.0,104175449.0,0.2%,0.2%,"WATSONVILLE, California
(36.910233, -121.756873)",0
25,25,2010,106380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,Non-Profit,Comparable,0,67,22,22,16755914,1061755.0,17817669.0,6%,6.3%,"SAN FRANCISCO, California
(37.78008, -122.420168)",0
26,26,2011,106361246,LOMA LINDA UNIVERSITY MEDICAL CENTER,San Bernardino,Non-Profit,Comparable,1,881,815,650,1132919448,22084121.0,1155003569.0,1.9%,1.9%,"LOMA LINDA, California
(34.048261, -117.261123)",0
27,27,2010,106190470,PROVIDENCE LITTLE CO OF MARY MC-TORRANCE,LOS ANGELES,Non-Profit,Comparable,0,436,436,321,305182993,9214208.0,314397201.0,2.9%,3%,"TORRANCE, California
(33.836318, -118.340038)",0
28,28,2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,ORANGE,Non-Profit,Comparable,0,223,223,223,196267181,-622351.0,195644830.0,-0.3%,-0.3%,"ANAHEIM, California
(33.834492, -117.915638)",0
29,29,2010,106231013,MENDOCINO COAST DISTRICT HOSPTIAL,MENDOCINO,District,Comparable,0,25,25,17,42812976,601388.0,43414364.0,1.4%,1.4%,"FORT BRAGG, California
(39.445486, -123.804543)",1
30,30,2010,106190883,WHITTIER HOSPITAL MEDICAL CENTER,LOS ANGELES,Investor,Comparable,0,178,178,178,91264714,146090.0,91410804.0,0.2%,0.2%,"WHITTIER, California
(33.967318, -118.048051)",0
31,31,2011,106190857,DOCTORS HOSPITAL OF WEST COVINA,Los Angeles,Investor,Comparable,0,51,51,51,10303855,374952.0,10678807.0,3.5%,3.6%,"WEST COVINA, California
(34.068896, -117.938239)",0
32,32,2010,106190696,PACIFICA HOSPITAL OF THE VALLEY,LOS ANGELES,Investor,Comparable,0,231,231,221,57851715,704885.0,58556600.0,1.2%,1.2%,"SUN VALLEY, California
(34.217499, -118.3694)",0
33,33,2010,106190323,GLENDALE ADVENTIST MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,0,457,457,380,346846398,4338958.0,351185356.0,1.2%,1.3%,"GLENDALE, California
(34.148138, -118.246437)",0
34,34,2011,106190949,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Los Angeles,Non-Profit,Comparable,0,227,221,142,202284626,394667.0,202679293.0,0.2%,0.2%,"VALENCIA, California
(34.389444, -118.564722)",0
35,35,2011,106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL & MED CENTER-EUCLID,Orange,Investor,Comparable,0,400,400,240,295228799,3503175.0,298731974.0,1.2%,1.2%,"FOUNTAIN VALLEY, California
(33.708975, -117.951323)",0
36,36,2010,106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,Investor,Comparable,0,434,412,263,243532342,1226612.0,244758954.0,0.5%,0.5%,"LOS ANGELES, California
(34.052238, -118.243344)",0
37,37,2010,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Non-Profit,Comparable,0,35,25,25,36202000,173000.0,36375000.0,0.5%,0.5%,"FORTUNA, California
(40.58858, -124.146858)",1
38,38,2012,106450936,MAYERS MEMORIAL HOSPITAL,Shasta,District,Comparable,0,121,121,121,17274851,777685.0,18052536.0,4.3%,4.5%,"FALL RIVER MILLS, California
(41.003555, -121.439959)",1
39,39,2012,106374024,AURORA SAN DIEGO,San Diego,Investor,Comparable,0,80,80,72,25204051,32758.0,25236809.0,0.1%,0.1%,"SAN DIEGO, California
(32.71576, -117.163817)",0
40,40,2011,106481094,SUTTER MEDICAL CENTER - SOLANO,Solano,Non-Profit,Comparable,0,102,102,102,116291584,1774948.0,118066532.0,1.5%,1.5%,"VALLEJO, California
(38.101088, -122.254959)",0
41,41,2011,106304079,HEALTHSOUTH TUSTIN REHAB HOSPITAL,Orange,Investor,Comparable,0,48,48,45,21624164,32152.0,21656316.0,0.1%,0.1%,"TUSTIN, California
(33.742072, -117.818805)",0
42,42,2011,106190170,CHILDREN'S HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Comparable,1,603,329,329,536778457,116254351.0,653032808.0,17.8%,21.7%,"LOS ANGELES, California
(34.052238, -118.243344)",0
43,43,2010,106361144,CHINO VALLEY MEDICAL CENTER,SAN BERNARDINO,Investor,Comparable,0,126,126,126,83136883,132342.0,83269225.0,0.2%,0.2%,"CHINO, California
(34.010971, -117.689239)",0
44,44,2010,106344029,MERCY HOSPITAL-FOLSOM,SACRAMENTO,Non-Profit,Comparable,0,85,85,85,132004698,725000.0,132729698.0,0.5%,0.5%,"FOLSOM, California
(38.681325, -121.163738)",0
45,45,2011,106340950,MERCY SAN JUAN HOSPITAL,Sacramento,Non-Profit,Comparable,0,370,370,370,463752000,8518000.0,472270000.0,1.8%,1.8%,"CARMICHAEL, California
(38.636604, -121.327265)",0
46,46,2010,106364188,KINDRED HOSPITAL-RANCHO,SAN BERNARDINO,Non-Profit,Comparable,0,55,55,52,43107967,196520.0,43304487.0,0.5%,0.5%,"RANCHO CUCAMONGA, California
(34.106399, -117.575764)",0
47,47,2010,106191014,LANTERMAN STATE HOSPITAL AND DEVELOPMENT,LOS ANGELES,State,State Hospitals,0,1286,1258,382,102858922,0.0,102858922.0,0%,0%,"POMONA, California
(34.055118, -117.750048)",0
48,48,2010,106344017,SUTTER CENTER FOR PSYCHIATRY,SACRAMENTO,Non-Profit,Comparable,0,69,69,69,21332161,88322.0,21420483.0,0.4%,0.4%,"SACRAMENTO, California
(38.582087, -121.50012)",0
49,49,2011,106230949,FRANK R HOWARD MEMORIAL HOSPITAL,Mendocino,Non-Profit,Comparable,0,25,25,25,44814452,1114569.0,45929021.0,2.4%,2.5%,"WILLITS, California
(39.409044, -123.353523)",1
50,50,2010,106344035,KINDRED HOSPITAL-SACRAMENTO,SACRAMENTO,Investor,Comparable,0,39,38,35,24386191,0.0,24386191.0,0%,0%,"FOLSOM, California
(38.681325, -121.163738)",0
51,51,2011,106301248,LOS ALAMITOS MEDICAL CENTER,Orange,Investor,Comparable,0,167,167,124,174205621,1336300.0,175541921.0,0.8%,0.8%,"LOS ALAMITOS, California
(33.804939, -118.071876)",0
52,52,2010,106361166,MONTCLAIR HOSPITAL MEDICAL CENTER,SAN BERNARDINO,Investor,Comparable,0,102,102,102,49466841,2683410.0,52150251.0,5.1%,5.4%,"MONTCLAIR, California
(34.077674, -117.693908)",0
53,53,2010,106481015,ST. HELENA HOSPITAL BEHAVIORAL HEALTH CENTER,SOLANO,Non-Profit,Comparable,0,61,61,61,19594882,170986.0,19765868.0,0.9%,0.9%,"VALLEJO, California
(38.101088, -122.254959)",0
54,54,2011,106331312,RIVERSIDE COMMUNITY HOSPITAL,Riverside,Investor,Comparable,0,372,345,345,405549849,4253775.0,409803624.0,1%,1%,"RIVERSIDE, California
(33.980534, -117.377025)",0
55,55,2012,106301297,PLACENTIA-LINDA COMMUNITY HOSPITAL,Orange,Investor,Comparable,0,114,114,34,82728424,182121.0,82910545.0,0.2%,0.2%,"PLACENTIA, California
(33.871209, -117.860113)",0
56,56,2010,106404046,SAN LUIS OBISPO COUNTY-PHF,SAN LUIS OBISPO,City/County,Psychiatric Health Facilities,0,16,16,16,1387143,0.0,1387143.0,0%,0%,"SAN LUIS OBISPO, California
(35.282619, -120.660014)",0
57,57,2011,106491267,SONOMA DEVELOPMENTAL CENTER,Sonoma,State,State Hospitals,0,1413,1388,561,194166324,0.0,194166324.0,0%,0%,"ELDRIDGE, California
(38.339376, -122.50875)",0
58,58,2010,106301340,ST. JOSEPH HOSPITAL-ORANGE,ORANGE,Non-Profit,Comparable,0,525,376,376,553550042,77665375.0,631215417.0,12.3%,14%,"ORANGE, California
(33.791489, -117.853096)",0
59,59,2010,106334068,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,RIVERSIDE,Investor,Comparable,0,218,218,218,215533882,2005707.0,217539589.0,0.9%,0.9%,"MURRIETA, California
(33.559752, -117.220777)",0
60,60,2011,106301140,CHAPMAN MEDICAL CENTER,Orange,Investor,Comparable,0,114,100,100,41930353,148477.0,42078830.0,0.4%,0.4%,"ORANGE, California
(33.791489, -117.853096)",0
61,61,2010,106490964,HEALDSBURG DISTRICT HOSPITAL,SONOMA,District,Comparable,0,43,38,38,31534519,593515.0,32128034.0,1.8%,1.9%,"HEALDSBURG, California
(38.615845, -122.871942)",1
62,62,2010,106270875,SALINAS VALLEY MEMORIAL HOSPITAL,MONTEREY,District,Comparable,0,269,254,243,349232364,3102199.0,352334563.0,0.9%,0.9%,"SALINAS, California
(36.676795, -121.656421)",0
63,63,2011,106450940,SHASTA REGIONAL MEDICAL CENTER,Shasta,Investor,Comparable,0,246,246,246,156071180,955356.0,157026536.0,0.6%,0.6%,"REDDING, California
(40.574637, -122.38109)",0
64,64,2010,106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,SAN BENITO,District,Comparable,0,176,154,120,72775607,1915937.0,74691544.0,2.6%,2.6%,"HOLLISTER, California
(36.852513, -121.402063)",1
65,65,2011,106010846,ALAMEDA COUNTY MEDICAL CENTER,Alameda,City/County,Comparable,1,475,453,421,459948170,131027886.0,590976056.0,22.2%,-28.5%,"OAKLAND, California
(37.804828, -122.27248)",0
66,66,2011,106014050,VALLEYCARE MEDICAL CENTER,Alameda,Non-Profit,Comparable,0,242,222,222,213176918,9569114.0,222746032.0,4.3%,4.5%,"PLEASANTON, California
(37.656667, -121.878923)",0
67,67,2011,106190522,GLENDALE MEMORIAL HOSPITAL & HEALTH CENTER,Los Angeles,Non-Profit,Comparable,0,334,321,166,177745059,3501693.0,181246752.0,1.9%,2%,"GLENDALE, California
(34.148138, -118.246437)",0
68,68,2011,106332172,KINDRED HOSPITAL - RIVERSIDE,Riverside,Investor,Comparable,0,40,40,40,23706052,29829.0,23735881.0,0.1%,0.1%,"PERRIS, California
(33.786558, -117.228201)",0
69,69,2011,106150808,TEHACHAPI HOSPITAL,Kern,District,Comparable,0,25,24,24,15669005,65383.0,15734388.0,0.4%,0.4%,"TEHACHAPI, California
(35.132317, -118.449074)",1
70,70,2010,106190878,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,1,353,353,274,317204594,6761220.0,323965814.0,2.1%,2.1%,"LOS ANGELES, California
(34.052238, -118.243344)",0
71,71,2010,106214034,NOVATO COMMUNITY HOSPITAL-CURRENT LOC,MARIN,Non-Profit,Comparable,0,47,47,18,65201329,2831307.0,68032636.0,4.2%,4.3%,"NOVATO, California
(38.109189, -122.578257)",0
72,72,2011,106400466,ARROYO GRANDE COMMUNITY HOSPITAL,San Luis Obispo,Non-Profit,Comparable,0,67,67,58,51488750,638987.0,52127737.0,1.2%,1.2%,"ARROYO GRANDE, California
(35.124098, -120.576388)",0
73,73,2011,106490919,SUTTER MEDICAL CENTER - SANTA ROSA,Sonoma,Non-Profit,Comparable,0,135,135,115,155991419,1989529.0,157980948.0,1.3%,1.3%,"SANTA ROSA, California
(38.439698, -122.715642)",0
74,74,2012,106141273,NORTHERN INYO HOSPITAL,Inyo,District,Comparable,0,25,25,7,59642143,1931658.0,61573801.0,3.1%,3.2%,"BISHOP, California
(37.361412, -118.39527)",1
75,75,2012,106190256,EAST LOS ANGELES DOCTOR'S HOSPITAL,Los Angeles,Investor,Comparable,0,127,127,127,81510187,2113624.0,83623811.0,2.5%,2.6%,"LOS ANGELES, California
(34.052238, -118.243344)",0
76,76,2011,106301205,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Orange,Non-Profit,Comparable,0,568,451,451,730044688,36254768.0,766299456.0,4.7%,5%,"NEWPORT BEACH, California
(33.615967, -117.930378)",0
77,77,2011,106340951,METHODIST HOSPITAL OF SACRAMENTO,Sacramento,Non-Profit,Comparable,0,333,327,327,199303000,5298000.0,204601000.0,2.6%,2.7%,"SACRAMENTO, California
(38.582087, -121.50012)",0
78,78,2011,106500852,DOCTORS MEDICAL CENTER,Stanislaus,Investor,Comparable,0,461,461,297,376104172,16105432.0,392209604.0,4.1%,4.3%,"MODESTO, California
(37.640735, -121.002435)",0
79,79,2010,106190636,CITRUS VALLEY MEDICAL CENTER-QV CAMPUS,LOS ANGELES,Non-Profit,Comparable,0,518,518,518,373712991,2343068.0,376056059.0,0.6%,0.6%,"WEST COVINA, California
(34.068896, -117.938239)",0
80,80,2010,106410817,SETON MEDICAL CENTER,SAN MATEO,Non-Profit,Comparable,0,478,428,284,288134854,2194634.0,290329488.0,0.8%,0.8%,"DALY CITY, California
(37.691113, -122.472221)",0
81,81,2010,106110889,GLENN MEDICAL CENTER,GLENN,Non-Profit,Comparable,0,47,15,15,12938684,297800.0,13236484.0,2.2%,2.3%,"WILLOWS, California
(39.520518, -122.198176)",1
82,82,2011,106301340,ST. JOSEPH HOSPITAL - ORANGE,Orange,Non-Profit,Comparable,0,525,390,390,538955112,83894578.0,622849690.0,13.5%,15.6%,"ORANGE, California
(33.791489, -117.853096)",0
83,83,2011,106014207,TELECARE HERITAGE PHF,Alameda,Investor,Psychiatric Health Facilities,0,26,26,26,8205502,0.0,8205502.0,0%,0%,"OAKLAND, California
(37.804828, -122.27248)",0
84,84,2011,106244027,MARIE GREEN PSYCHIATRIC CENTER -PHF,Merced,City/County,Psychiatric Health Facilities,0,16,16,16,3544615,0.0,3544615.0,0%,0%,"MERCED, California
(37.306968, -120.481971)",0
85,85,2010,106190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,0,414,308,256,375031468,6605487.0,381636955.0,1.7%,1.8%,"BURBANK, California
(34.182052, -118.307476)",0
86,86,2011,106171395,SUTTER LAKESIDE HOSPITAL,Lake,Non-Profit,Comparable,0,49,25,25,63997898,1653905.0,65651803.0,2.5%,2.6%,"LAKEPORT, California
(39.043171, -122.915171)",1
87,87,2011,106301380,KINDRED HOSPITAL - WESTMINSTER,Orange,Investor,Comparable,0,109,109,109,67962895,100012.0,68062907.0,0.1%,0.1%,"WESTMINSTER, California
(33.759234, -117.987575)",0
88,88,2010,106191216,USC KENNETH NORRIS JR. CANCER HOSPITAL,LOS ANGELES,Non-Profit,Comparable,0,60,60,35,75885714,3557105.0,79442819.0,4.5%,4.7%,"LOS ANGELES, California
(34.052238, -118.243344)",0
89,89,2011,106424002,SANTA BARBARA COUNTY - PHF,Santa Barbara,City/County,Psychiatric Health Facilities,0,16,16,16,3862910,0.0,3862910.0,0%,0%,"SANTA BARBARA, California
(34.420867, -119.698342)",0
90,90,2012,106361343,ST. MARY MEDICAL CENTER - APPLE VALLEY,San Bernardino,Non-Profit,Comparable,0,212,212,206,269028176,3931884.0,272960060.0,1.4%,1.5%,"APPLE VALLEY, California
(34.524024, -117.216839)",1
91,91,2012,106301357,NEWPORT SPECIALTY HOSPITAL,Orange,Investor,Comparable,0,177,109,56,30600650,210762.0,30811412.0,0.7%,0.7%,"TUSTIN, California
(33.742072, -117.818805)",0
92,92,2011,106191231,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,Los Angeles,City/County,Comparable,1,377,275,275,280913767,35457181.0,316370948.0,11.2%,-12.6%,"SYLMAR, California
(34.3078, -118.448303)",0
93,93,2010,106190110,BROTMAN MEDICAL CENTER,LOS ANGELES,Investor,Comparable,0,420,225,225,109625058,2295797.0,111920855.0,2.1%,2.1%,"CULVER CITY, California
(34.0225, -118.394287)",0
94,94,2012,106190468,PROMISE HOSPITAL OF EAST LOS ANGELES,Los Angeles,Investor,Comparable,0,213,213,179,78308345,192927.0,78501272.0,0.2%,0.2%,"LOS ANGELES, California
(34.052238, -118.243344)",0
95,95,2011,106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Alameda,Non-Profit,Comparable,0,50,50,50,3364493,1298781.0,4663274.0,27.9%,38.6%,"OAKLAND, California
(37.804828, -122.27248)",0
96,96,2011,106194219,KECK HOSPITAL OF USC,Los Angeles,Investor,Comparable,1,411,349,207,477303365,7240269.0,484543634.0,1.5%,1.5%,"LOS ANGELES, California
(34.052238, -118.243344)",0
97,97,2011,106190555,CEDARS-SINAI MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,1,947,892,892,2122751724,224802217.0,2347553941.0,9.6%,10.6%,"LOS ANGELES, California
(34.052238, -118.243344)",0
98,98,2010,106560525,SIMI VALLEY HOSPITAL & HEALTH SERVICES-SYCAMORE,VENTURA,Non-Profit,Comparable,0,201,177,150,109466656,1354573.0,110821229.0,1.2%,1.2%,"SIMI VALLEY, California
(34.286321, -118.712804)",0
99,99,2011,106191306,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,Los Angeles,City/County,Comparable,0,395,289,203,141775920,1972670.0,143748590.0,1.4%,-1.4%,"DOWNEY, California
(33.940946, -118.12752)",0
100,100,2012,106150736,KERN MEDICAL CENTER,Kern,City/County,Comparable,1,222,194,168,215594003,10974334.0,226568337.0,4.8%,5.1%,"BAKERSFIELD, California
(35.373405, -119.018911)",0
101,101,2012,106380865,LAGUNA HONDA HOSPITAL & REHAB CENTER,San Francisco,City/County,LTC Emphasis,0,780,780,776,117921542,984125.0,118905667.0,0.8%,0.8%,"SAN FRANCISCO, California
(37.78008, -122.420168)",0
102,102,2012,106370780,TRI-CITY MEDICAL CENTER,San Diego,District,Comparable,0,397,397,222,300294422,9242600.0,309537022.0,3%,3.1%,"OCEANSIDE, California
(33.195906, -117.379517)",0
103,103,2011,106121080,ST. JOSEPH HOSPITAL - EUREKA,Humboldt,Non-Profit,Comparable,0,189,138,138,190987349,736297.0,191723646.0,0.4%,0.4%,"EUREKA, California
(40.786143, -124.161309)",0
104,104,2011,106204019,CHILDREN'S HOSPITAL - CENTRAL CALIFORNIA,Madera,Non-Profit,Comparable,0,348,348,348,410064353,17191982.0,427256335.0,4%,4.2%,"MADERA, California
(36.961961, -120.059585)",0
105,105,2011,106304460,HOAG ORTHOPEDIC INSTITUTE,Orange,Investor,Comparable,0,70,70,70,74637481,1883.0,74639364.0,0%,0%,"IRVINE, California
(33.685908, -117.824719)",0
106,106,2010,106560838,PACIFIC SHORES,VENTURA,Investor,Comparable,0,30,30,30,8989366,0.0,8989366.0,0%,0%,"OXNARD, California
(34.197663, -119.175947)",0
107,107,2011,106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Contra Costa,Non-Profit,Comparable,0,313,242,135,334319417,4191359.0,338510776.0,1.2%,1.3%,"CONCORD, California
(37.979103, -122.031333)",0
108,108,2012,106380939,SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,San Francisco,City/County,Comparable,1,598,564,383,559001164,100849488.0,659850652.0,15.3%,18%,"SAN FRANCISCO, California
(37.78008, -122.420168)",0
109,109,2010,106370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Comparable,0,343,343,281,271315556,3004106.0,274319662.0,1.1%,1.1%,"CHULA VISTA, California
(32.640071, -117.084042)",0
110,110,2010,106330120,BETTY FORD CENTER OF EISENHOWER,RIVERSIDE,Non-Profit,Comparable,0,100,100,100,27438685,4264286.0,31702971.0,13.5%,15.5%,"RANCHO MIRAGE, California
(33.742298, -116.410904)",0
111,111,2011,106344114,SHRINERS HOSPITAL - NORTHERN CALIF,Sacramento,Non-Profit,Shriners Hospitals,0,80,70,70,0,57777449.0,57777449.0,100%,0%,"SACRAMENTO, California
(38.582087, -121.50012)",0
112,112,2012,106344188,CRESTWOOD PHF - SACRAMENTO,Sacramento,Investor,Psychiatric Health Facilities,0,16,16,16,2056320,120975.0,2177295.0,5.6%,5.9%,"SACRAMENTO, California
(38.582087, -121.50012)",0
113,113,2012,106320859,EASTERN PLUMAS HEALTH CARE,Plumas,District,Comparable,0,76,75,56,20474221,490878.0,20965099.0,2.3%,2.4%,"PORTOLA, California
(39.812099, -120.464742)",1
114,114,2010,106334487,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,RIVERSIDE,City/County,Comparable,1,439,410,410,350298709,23910033.0,374208742.0,6.4%,6.8%,"MORENO VALLEY, California
(33.917114, -117.261144)",0
115,115,2012,106301127,KINDRED HOSPITAL - BREA,Orange,Investor,Comparable,0,86,86,86,34361532,52812.0,34414344.0,0.2%,0.2%,"BREA, California
(33.917763, -117.898326)",0
116,116,2011,106370745,SHARP MESA VISTA HOSPITAL,San Diego,Non-Profit,Comparable,0,149,149,101,57555084,480797.0,58035881.0,0.8%,0.8%,"SAN DIEGO, California
(32.71576, -117.163817)",0
117,117,2011,106040875,FEATHER RIVER HOSPITAL,Butte,Non-Profit,Comparable,0,100,100,100,152464016,10835976.0,163299992.0,6.6%,7.1%,"PARADISE, California
(39.752081, -121.621973)",0
118,118,2012,106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL & MED CENTER-EUCLID,Orange,Investor,Comparable,0,400,400,237,303905316,1904221.0,305809537.0,0.6%,0.6%,"FOUNTAIN VALLEY, California
(33.708975, -117.951323)",0
119,119,2011,106190878,WHITE MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,1,353,353,273,286136685,6191690.0,292328375.0,2.1%,2.2%,"LOS ANGELES, California
(34.052238, -118.243344)",0
120,120,2011,106010805,EDEN MEDICAL CENTER,Alameda,Non-Profit,Comparable,0,271,271,152,300529914,8888226.0,309418140.0,2.9%,3%,"CASTRO VALLEY, California
(37.698547, -122.073956)",0
121,121,2010,106190958,METROPOLITAN STATE HOSPITAL,LOS ANGELES,State,State Hospitals,0,1096,672,637,80200381,0.0,80200381.0,0%,0%,"NORWALK, California
(33.914183, -118.072494)",0
122,122,2011,106190323,GLENDALE ADVENTIST MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,0,457,414,298,332330852,3868179.0,336199031.0,1.2%,1.2%,"GLENDALE, California
(34.148138, -118.246437)",0
123,123,2010,106190380,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,LOS ANGELES,Investor,Comparable,0,159,159,159,68620250,77131.0,68697381.0,0.1%,0.1%,"HOLLYWOOD, California
(34.098301, -118.325798)",0
